,name,url,uri,popularity,artist,danceability,energy,valence,acousticness,instrumentalness,tempo,loudness,speechiness,liveness,label
48587,Horizon - Mixed,https://open.spotify.com/embed/track/0QmRvDXwejGYpaC5yhLYFr,spotify:track:0QmRvDXwejGYpaC5yhLYFr,26,ARTBAT,0.623,0.759,0.015,0.0156,0.888,126.026,-9.642,0.0352,0.0975,1
48592,Just Chillin',https://open.spotify.com/embed/track/2CZvyta27Yxnjw9JdDGGyG,spotify:track:2CZvyta27Yxnjw9JdDGGyG,44,Norman Brown,0.544,0.679,0.632,0.756,0.722,82.208,-7.736,0.034,0.142,1
48598,"Wheels of Raaga - Kalyan - Celebrating ""Womenhood"" in Music",https://open.spotify.com/embed/track/3WRhtmoRZUhcSix28KxCPL,spotify:track:3WRhtmoRZUhcSix28KxCPL,20,R Sanjay,0.714,0.54,0.0503,0.182,0.886,119.954,-6.609,0.0265,0.125,1
48599,Almannagjá,https://open.spotify.com/embed/track/2y8NHclCo5TPdGn5oq1pkY,spotify:track:2y8NHclCo5TPdGn5oq1pkY,49,West & Zander,0.829,0.534,0.0655,0.513,0.929,116.005,-9.66,0.0827,0.208,1
48625,Driftin',https://open.spotify.com/embed/track/55lgoqbpgD5cdCfms3MEC2,spotify:track:55lgoqbpgD5cdCfms3MEC2,44,Earl Klugh,0.843,0.325,0.883,0.718,0.877,104.989,-14.602,0.0469,0.106,1
48633,Losing Interest,https://open.spotify.com/embed/track/55XrFge2dEZwYzNl128DwN,spotify:track:55XrFge2dEZwYzNl128DwN,74,itssvd,0.753,0.355,0.506,0.48,0.87,111.863,-13.295,0.0898,0.122,1
48658,Rising Sun,https://open.spotify.com/embed/track/4yB3Ljw5lrhqmAISGaNPsd,spotify:track:4yB3Ljw5lrhqmAISGaNPsd,31,T’s MUSIC,0.49,0.931,0.394,0.00323,0.956,130.02,-8.12,0.049,0.415,1
48664,Slow Blues,https://open.spotify.com/embed/track/451DmtsIrqVod8SD5tpXcU,spotify:track:451DmtsIrqVod8SD5tpXcU,47,Mick Taylor,0.515,0.309,0.543,0.407,0.951,77.581,-15.859,0.0286,0.0939,1
48666,The Excellent Loser,https://open.spotify.com/embed/track/1XbP0nCs7t90yljbC2PPsS,spotify:track:1XbP0nCs7t90yljbC2PPsS,9,Enej Johhem,0.541,0.491,0.06,0.00958,0.638,133.071,-11.625,0.0363,0.337,1
48667,sunique,https://open.spotify.com/embed/track/7a44ttV7Dp0nxJTXduqgSb,spotify:track:7a44ttV7Dp0nxJTXduqgSb,52,roumr,0.876,0.381,0.629,0.11,0.785,117.006,-14.357,0.0399,0.0884,1
48676,Velvet Groove,https://open.spotify.com/embed/track/2YKRhy9PI0jd0JZSi27sDe,spotify:track:2YKRhy9PI0jd0JZSi27sDe,43,Eric Valentine,0.732,0.689,0.738,0.28,0.79,95.007,-6.791,0.0593,0.115,1
48679,In the Sacred Valley,https://open.spotify.com/embed/track/07PL0ZtF2UoLcA6gwTz1zC,spotify:track:07PL0ZtF2UoLcA6gwTz1zC,18,Alex Hamberger,0.576,0.631,0.824,0.89,0.926,97.471,-13.402,0.0403,0.166,1
48683,Into the Waves,https://open.spotify.com/embed/track/1KnNbJ2Btm3AgpGQDy9utV,spotify:track:1KnNbJ2Btm3AgpGQDy9utV,36,Alcest,0.466,0.858,0.144,0.0033,0.728,134.022,-6.472,0.0335,0.108,1
48695,I CAN'T,https://open.spotify.com/embed/track/65b76kM7sMWzoBiUMjsjR8,spotify:track:65b76kM7sMWzoBiUMjsjR8,33,C.S. Armstrong,0.757,0.637,0.61,0.46,0.78,161.966,-6.771,0.337,0.108,1
48700,Anuva's Sky,https://open.spotify.com/embed/track/345H6NEZCjc7XKXaHtBXPd,spotify:track:345H6NEZCjc7XKXaHtBXPd,31,Blackstratblues,0.453,0.548,0.241,0.0559,0.831,130.042,-9.311,0.0322,0.141,1
48702,Rum & Coke,https://open.spotify.com/embed/track/72c1SNHSVF0nC6ajCDQN3B,spotify:track:72c1SNHSVF0nC6ajCDQN3B,42,LVDS,0.928,0.709,0.79,0.0105,0.709,124.988,-8.1,0.106,0.0801,1
