,name,url,uri,popularity,artist,danceability,energy,valence,acousticness,instrumentalness,tempo,loudness,speechiness,liveness,label
21001,I Was Born To Love You,https://open.spotify.com/embed/track/3YllcvA3PW1DUwjckCVjIw,spotify:track:3YllcvA3PW1DUwjckCVjIw,58,Ray LaMontagne,0.659,0.236,0.216,0.84,6.32e-05,78.088,-12.56,0.0304,0.206,2
21006,Starboy - Acoustic,https://open.spotify.com/embed/track/2QoyYV4YAuw9T9UgsDoam2,spotify:track:2QoyYV4YAuw9T9UgsDoam2,49,Simon Samaeng,0.585,0.397,0.226,0.782,0.0,86.837,-9.847,0.0528,0.269,2
21009,Once a Loser Aways a Loser,https://open.spotify.com/embed/track/4FBoTpxUkJtJsr5qyY3mSF,spotify:track:4FBoTpxUkJtJsr5qyY3mSF,27,HappyHappy,0.72,0.428,0.594,0.582,0.0,130.864,-7.295,0.0335,0.202,2
21010,If You're Tired,https://open.spotify.com/embed/track/7aeOw5jKsZOhTabTJ1qxcx,spotify:track:7aeOw5jKsZOhTabTJ1qxcx,38,Connor Duermit,0.565,0.377,0.102,0.397,1.24e-05,129.843,-7.485,0.0305,0.11,2
21016,Dil To Bachcha Hai,https://open.spotify.com/embed/track/3EFGRGsshk0NWidcXfhKvw,spotify:track:3EFGRGsshk0NWidcXfhKvw,56,Rahat Fateh Ali Khan,0.386,0.412,0.469,0.478,2e-05,75.266,-7.358,0.0406,0.0746,2
21019,Only You - From The McDonald’s Christmas Advert 2022,https://open.spotify.com/embed/track/1mvfhBqEwBouLGSdcc7E4G,spotify:track:1mvfhBqEwBouLGSdcc7E4G,39,Becky Hill,0.549,0.117,0.334,0.966,0.0,95.531,-11.578,0.0295,0.105,2
21023,"PiLOT (feat. Snoop Dogg, Busta Rhymes, Anderson .Paak)",https://open.spotify.com/embed/track/6OquGsVTLqZHyxqG0PLwFz,spotify:track:6OquGsVTLqZHyxqG0PLwFz,55,DOMi & JD BECK,0.542,0.485,0.698,0.792,0.00198,174.836,-13.131,0.439,0.102,2
21027,Still,https://open.spotify.com/embed/track/2LdtluFBgL8cuSo9nkvJ57,spotify:track:2LdtluFBgL8cuSo9nkvJ57,49,Commodores,0.355,0.0629,0.203,0.899,0.000631,124.422,-19.544,0.0338,0.0975,2
21028,Kannai Vittu,https://open.spotify.com/embed/track/73IC8BYT4DKQJ8z9wn0it9,spotify:track:73IC8BYT4DKQJ8z9wn0it9,20,Britto Jude,0.558,0.379,0.183,0.761,2.63e-05,178.077,-9.418,0.105,0.0806,2
21040,Bill,https://open.spotify.com/embed/track/0BKNA4OFye3cS0JPzZ9BOv,spotify:track:0BKNA4OFye3cS0JPzZ9BOv,12,Jerome Kern,0.365,0.0344,0.213,0.936,0.0,144.077,-14.533,0.0395,0.106,2
21041,algo así,https://open.spotify.com/embed/track/5YZ6ThqD1WBi9g0YSlLsfW,spotify:track:5YZ6ThqD1WBi9g0YSlLsfW,44,paopao,0.48,0.448,0.43,0.462,0.0,87.998,-7.435,0.194,0.0947,2
21045,I Lied (with Allison Ponthier),https://open.spotify.com/embed/track/5QL8Uqhv0MQRYKRy6UKQIy,spotify:track:5QL8Uqhv0MQRYKRy6UKQIy,54,Lord Huron,0.44,0.269,0.138,0.914,0.261,103.877,-10.769,0.0262,0.132,2
21046,Old Gods,https://open.spotify.com/embed/track/75CnQWeQ1V4tFSnes66c8H,spotify:track:75CnQWeQ1V4tFSnes66c8H,42,Emily Scott Robinson,0.452,0.205,0.548,0.899,0.000143,179.224,-10.901,0.0524,0.108,2
21048,When We Get Married,https://open.spotify.com/embed/track/577wJybDQlVQ4qrT8nogLk,spotify:track:577wJybDQlVQ4qrT8nogLk,21,The Intruders,0.223,0.47,0.493,0.854,0.000159,162.434,-10.514,0.0305,0.38,2
21054,Sin Yolanda,https://open.spotify.com/embed/track/2P8lowDRQsyXnPryS7s20o,spotify:track:2P8lowDRQsyXnPryS7s20o,25,Zuaraz,0.833,0.282,0.503,0.919,0.00181,104.977,-11.863,0.049,0.0998,2
21058,SEMBHAVAZHA MAARIYAMMA,https://open.spotify.com/embed/track/1KUBQn32fDhQf7yGMxDKN7,spotify:track:1KUBQn32fDhQf7yGMxDKN7,24,L. R. Eswari,0.368,0.878,0.785,0.779,2.91e-06,178.505,-2.666,0.0928,0.147,2
21062,i know you know,https://open.spotify.com/embed/track/7IU4F6KiGpjwy5cEBKof8L,spotify:track:7IU4F6KiGpjwy5cEBKof8L,57,CHSKA,0.529,0.441,0.254,0.666,2.19e-05,112.763,-7.621,0.0268,0.0998,2
21063,Is It Enough,https://open.spotify.com/embed/track/5CiwHSUDf9C1Uv0r4nUVLd,spotify:track:5CiwHSUDf9C1Uv0r4nUVLd,40,Hope Tala,0.634,0.444,0.795,0.832,2.08e-05,77.188,-8.48,0.0451,0.135,2
21075,Brasil pandeiro,https://open.spotify.com/embed/track/4IIK7KvWCTSkVVRufxyh3d,spotify:track:4IIK7KvWCTSkVVRufxyh3d,49,Novos Baianos,0.544,0.425,0.863,0.812,0.00137,96.688,-12.074,0.0346,0.0957,2
21076,Vårsøg (Arr. for Violin and Orchestra by Ben Palmer),https://open.spotify.com/embed/track/4R2IJdhyEPflHnWQreYQjh,spotify:track:4R2IJdhyEPflHnWQreYQjh,39,Henning Sommerro,0.226,0.199,0.092,0.913,0.312,87.394,-15.491,0.0418,0.265,2
21079,"All-Night Vigil, Op. 37: XV. To Thee, Victorious Leader (Greek chant)",https://open.spotify.com/embed/track/3UtECjqLsvARh20hWqH6XW,spotify:track:3UtECjqLsvARh20hWqH6XW,18,Sergei Rachmaninoff,0.206,0.471,0.179,0.988,0.0987,77.651,-16.304,0.0416,0.101,2
21087,Aao Na (Lofi Mix),https://open.spotify.com/embed/track/07H0BQV9ZiW7z7xwTchbh2,spotify:track:07H0BQV9ZiW7z7xwTchbh2,37,Sadhana Sargam,0.365,0.646,0.299,0.7,0.000826,179.929,-7.792,0.0715,0.306,2
21090,Qué Maldición,https://open.spotify.com/embed/track/4DNnkNigVl4Dc5Ja4BvKH9,spotify:track:4DNnkNigVl4Dc5Ja4BvKH9,46,Ruzzi,0.663,0.502,0.503,0.784,0.00221,173.885,-10.638,0.21,0.133,2
21097,Crazy Tings,https://open.spotify.com/embed/track/5VQagemEOLpJJikcLzDNYR,spotify:track:5VQagemEOLpJJikcLzDNYR,59,Tems,0.659,0.502,0.497,0.556,5.46e-05,199.891,-11.088,0.405,0.0953,2
21105,Dhaga Dhaga Reprised version,https://open.spotify.com/embed/track/12g5WrxxLqh2wW7Bgrle1u,spotify:track:12g5WrxxLqh2wW7Bgrle1u,49,Harshavardhan Wavre,0.493,0.387,0.354,0.863,0.0,115.46,-6.818,0.03,0.115,2
21116,Last Christmas,https://open.spotify.com/embed/track/09j5YVh6DLMa09PRp51mrE,spotify:track:09j5YVh6DLMa09PRp51mrE,20,Ashley Jones,0.816,0.225,0.611,0.617,0.0,104.98,-9.969,0.033,0.151,2
21127,"Oh Azhagae, Pt. 1",https://open.spotify.com/embed/track/2YY7HsQbmERN99mfnUsrGA,spotify:track:2YY7HsQbmERN99mfnUsrGA,15,K. S. Harisankar,0.454,0.481,0.419,0.752,6.61e-05,172.518,-9.589,0.0387,0.141,2
21128,Do You Hear What I Hear? - Remastered 2006,https://open.spotify.com/embed/track/5aDoUmxBsbdpS16alksb5Z,spotify:track:5aDoUmxBsbdpS16alksb5Z,54,Bing Crosby,0.566,0.246,0.412,0.813,1.48e-06,101.529,-15.499,0.0276,0.195,2
21130,Miel,https://open.spotify.com/embed/track/6ohTBTmcNHe9UzvxAgA9wJ,spotify:track:6ohTBTmcNHe9UzvxAgA9wJ,66,Lauri Garcia,0.801,0.401,0.595,0.909,0.0,126.455,-8.082,0.0491,0.158,2
21131,Old Toy Trains - Single Version,https://open.spotify.com/embed/track/5A6wl06KscRjwC6aeTo7HF,spotify:track:5A6wl06KscRjwC6aeTo7HF,29,Roger Miller,0.65,0.21,0.486,0.828,0.0,104.87,-16.138,0.0307,0.119,2
