,name,url,uri,popularity,artist,danceability,energy,valence,acousticness,instrumentalness,tempo,loudness,speechiness,liveness,label
18575,One of a Kind,https://open.spotify.com/embed/track/0KIEv9UKpXev3mP8c435bn,spotify:track:0KIEv9UKpXev3mP8c435bn,17,Yoon Chae Young,0.536,0.102,0.258,0.985,0.952,172.053,-24.374,0.0582,0.0862,4
18580,Rushes Recede,https://open.spotify.com/embed/track/6j2WzsvrDBUkyH08pO376N,spotify:track:6j2WzsvrDBUkyH08pO376N,26,Sarah Davachi,0.065,0.0197,0.0334,0.905,0.934,70.157,-29.037,0.0451,0.103,4
18585,Cleopatra's Dream,https://open.spotify.com/embed/track/79Pa36K6R3somBuhNi2B0V,spotify:track:79Pa36K6R3somBuhNi2B0V,45,Jonny Libonate,0.575,0.365,0.588,0.722,0.919,124.889,-11.953,0.0404,0.101,4
18592,…And at the Hour of Death,https://open.spotify.com/embed/track/1gU5jNTPxkrF52O7vUTWzR,spotify:track:1gU5jNTPxkrF52O7vUTWzR,54,Víkingur Ólafsson,0.484,0.0111,0.2,0.995,0.878,121.708,-36.334,0.0384,0.0556,4
18593,"Bewitched, Bothered and Bewildered",https://open.spotify.com/embed/track/2H2rKP4bEBgT5Y7LMuIF3w,spotify:track:2H2rKP4bEBgT5Y7LMuIF3w,34,David Clough Quartet,0.36,0.221,0.139,0.927,0.376,87.336,-13.87,0.0359,0.0896,4
18595,New Moon,https://open.spotify.com/embed/track/0qRkkkqgsdebj5x62MV7uA,spotify:track:0qRkkkqgsdebj5x62MV7uA,41,Pêtr Aleksänder,0.302,0.081,0.226,0.956,0.949,92.074,-25.431,0.0298,0.0698,4
18601,Green Noise Creek,https://open.spotify.com/embed/track/5p2NEOE6JL6C6fcKeKSp7v,spotify:track:5p2NEOE6JL6C6fcKeKSp7v,48,Tech Sleep,0.145,0.911,0.00622,0.891,0.966,137.104,-20.481,0.0642,0.314,4
18603,As Time Goes By,https://open.spotify.com/embed/track/0xh8FDAOAhaUh5R090cNwR,spotify:track:0xh8FDAOAhaUh5R090cNwR,50,Oslo,0.788,0.331,0.562,0.806,0.899,79.946,-15.894,0.105,0.104,4
18605,"Das alte jahr vergangen ist, BWV 614",https://open.spotify.com/embed/track/2ct7CQ9I0BFwPBN6lzFh84,spotify:track:2ct7CQ9I0BFwPBN6lzFh84,34,Johann Sebastian Bach,0.153,0.0172,0.0616,0.995,0.885,63.413,-29.261,0.0416,0.0932,4
18612,Lift Me Up,https://open.spotify.com/embed/track/0IBr2Sdv4JbwkEM8hEghn4,spotify:track:0IBr2Sdv4JbwkEM8hEghn4,47,Lenowa Parson,0.289,0.00495,0.288,0.989,0.94,82.332,-28.85,0.08,0.109,4
18617,Hankering,https://open.spotify.com/embed/track/7dZf1E475t9raui9KSVC0L,spotify:track:7dZf1E475t9raui9KSVC0L,55,Hector Warrens,0.134,0.0267,0.0396,0.861,0.938,65.828,-32.18,0.0408,0.102,4
18622,Traumlandschaft,https://open.spotify.com/embed/track/0KOenusM2ayoQfGrhBf5Q9,spotify:track:0KOenusM2ayoQfGrhBf5Q9,66,Kaiser Hulenstadt,0.0786,0.0152,0.0599,0.978,0.865,177.472,-30.165,0.0397,0.07,4
