,name,url,uri,popularity,artist,danceability,energy,valence,acousticness,instrumentalness,tempo,loudness,speechiness,liveness,label
29936,Something Beautiful - Super8 & Tab Remix,https://open.spotify.com/embed/track/4m1lEAwCvI7VrWqaty2kV6,spotify:track:4m1lEAwCvI7VrWqaty2kV6,41,Tritonal,0.547,0.946,0.108,0.004,0.00247,127.898,-4.489,0.0564,0.471,3
29937,Stargazing,https://open.spotify.com/embed/track/0VF7YLIxSQKyNiFL3X6MmN,spotify:track:0VF7YLIxSQKyNiFL3X6MmN,73,The Neighbourhood,0.512,0.483,0.367,0.00304,0.0011,160.009,-7.798,0.0298,0.12,3
29942,Jaanu,https://open.spotify.com/embed/track/2zOiBZht75rkRl2oYH0zVR,spotify:track:2zOiBZht75rkRl2oYH0zVR,33,Sandeep Kurapati,0.56,0.605,0.471,0.337,0.000569,128.056,-8.93,0.0626,0.0889,3
29947,The Secret - 2005 Remaster,https://open.spotify.com/embed/track/0hX1DIzrq8vmKycYvAqRSf,spotify:track:0hX1DIzrq8vmKycYvAqRSf,31,Pennywise,0.393,0.957,0.615,0.000102,0.0,98.888,-4.336,0.0692,0.0869,3
29953,"Enn Theivaththukkei (From ""Sivakasi"")",https://open.spotify.com/embed/track/7LlnVboXWql9UQnpSvAp7F,spotify:track:7LlnVboXWql9UQnpSvAp7F,37,Mukesh,0.768,0.578,0.416,0.201,3.78e-06,123.965,-7.339,0.0297,0.158,3
29954,Lorelei,https://open.spotify.com/embed/track/6mwS9ssEVKK7dmVVXwpbv7,spotify:track:6mwS9ssEVKK7dmVVXwpbv7,49,Scorpions,0.485,0.519,0.119,0.188,0.0,131.994,-5.886,0.0284,0.13,3
29956,Don't Play With It (feat. Latto & Yung Miami) - Remix,https://open.spotify.com/embed/track/7rl489EKnUgITmkBd6P9zi,spotify:track:7rl489EKnUgITmkBd6P9zi,48,Lola Brooke,0.776,0.688,0.43,0.00645,0.0,99.122,-5.75,0.127,0.0757,3
29957,Silver Soul,https://open.spotify.com/embed/track/2LZ2CNbcbJrwh53pitRgom,spotify:track:2LZ2CNbcbJrwh53pitRgom,68,Beach House,0.356,0.67,0.117,0.467,0.000106,135.032,-5.825,0.0324,0.288,3
29958,Shake Some Action,https://open.spotify.com/embed/track/3GqP6bUY1XHVlThBoQQk0z,spotify:track:3GqP6bUY1XHVlThBoQQk0z,29,Flamin' Groovies,0.495,0.632,0.376,0.0254,0.0332,137.105,-12.941,0.0404,0.237,3
29963,Do You Hear What I Hear?,https://open.spotify.com/embed/track/1Wn1FdOVisWKqqQm9ETfVl,spotify:track:1Wn1FdOVisWKqqQm9ETfVl,16,Eclipse 6,0.833,0.529,0.475,0.0189,0.0,102.021,-8.46,0.0388,0.119,3
29965,Tutto da rifare,https://open.spotify.com/embed/track/2ESOFOksMJ58Pn1K9iVCe8,spotify:track:2ESOFOksMJ58Pn1K9iVCe8,29,Bleu Smith,0.66,0.622,0.493,0.237,0.0,140.054,-5.401,0.0537,0.33,3
29968,i will live (i will die),https://open.spotify.com/embed/track/02dAmaV8bVYScTg9YryZa4,spotify:track:02dAmaV8bVYScTg9YryZa4,29,Conrad Taylor,0.716,0.809,0.157,0.0716,0.204,128.024,-4.804,0.0297,0.0908,3
29977,Do You Feel It?,https://open.spotify.com/embed/track/3lOok0REf4j3790abX26PR,spotify:track:3lOok0REf4j3790abX26PR,57,Chaos Chaos,0.678,0.662,0.383,0.187,0.261,139.048,-6.719,0.0278,0.125,3
29980,FEARLESS,https://open.spotify.com/embed/track/296nXCOv97WJNRWzIBQnoj,spotify:track:296nXCOv97WJNRWzIBQnoj,80,LE SSERAFIM,0.863,0.62,0.432,0.0508,0.00324,103.971,-7.167,0.135,0.129,3
29992,First Place,https://open.spotify.com/embed/track/21kVD9H40rRQkGmcMi01Fl,spotify:track:21kVD9H40rRQkGmcMi01Fl,44,yetep,0.563,0.809,0.3,0.0226,4.54e-06,145.078,-6.069,0.0478,0.129,3
29993,Thuggin 4 My Baby,https://open.spotify.com/embed/track/5l4DwTPXsAREUlBiRV6qil,spotify:track:5l4DwTPXsAREUlBiRV6qil,31,YULTRON,0.54,0.925,0.368,0.00242,0.000132,150.088,-3.819,0.0374,0.11,3
29995,Gas Panic!,https://open.spotify.com/embed/track/2klLrvEu0OroEWsJWeafWp,spotify:track:2klLrvEu0OroEWsJWeafWp,45,Oasis,0.349,0.664,0.287,0.0133,0.00257,148.059,-6.07,0.0408,0.39,3
29996,Sun Will Shine,https://open.spotify.com/embed/track/6bp0sJ0l3Ab3ZU0aktsYCf,spotify:track:6bp0sJ0l3Ab3ZU0aktsYCf,68,Robin Schulz,0.534,0.714,0.415,0.00633,0.0,125.99,-6.347,0.0629,0.0879,3
29997,You Will Never Be the Best at Anything You Try (Surely Not),https://open.spotify.com/embed/track/3kuRDe1vBmCXldgLl4ZJY9,spotify:track:3kuRDe1vBmCXldgLl4ZJY9,27,Short Fictions,0.402,0.919,0.234,0.0246,0.0559,159.995,-5.314,0.0427,0.138,3
30002,Solar Fire,https://open.spotify.com/embed/track/65gFWCRdKZD19F32AHhtmK,spotify:track:65gFWCRdKZD19F32AHhtmK,30,Smith/Kotzen,0.469,0.917,0.539,0.000291,0.00416,123.97,-4.5,0.1,0.153,3
30013,Never Alone (ft. Dix_On The Phone),https://open.spotify.com/embed/track/3nvbuSK7WPDwpyXNAv5sYO,spotify:track:3nvbuSK7WPDwpyXNAv5sYO,37,Jimi Jules,0.712,0.758,0.483,0.00335,0.414,121.026,-9.04,0.0536,0.0874,3
